Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Spain,ESP,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,43.75046165,56.9188758,70.60166615,81.74634085,92.62432669,109.0895609,114.8138501,130.2300535,148.9516229,165.5952836,172.820246,187.9844057,205.8421577,223.3660008,239.5992668,256.0694897,269.6052463,291.3523018,315.5700347,336.7444402,352.0328859,366.9604883,379.6883017,390.66705,406.842714,422.6315451,435.4979466,450.6182192,465.872228,483.0974894,495.3093459,504.0898625,517.4856494,533.396596,573.5799217,569.9716263,589.3818691,630.0350775,655.1117879,671.4179104,708.5793019,732.8631188,724.938926,742.1097889,759.5508402,786.3380503,807.2803115,825.1441384,831.1802833,,,,,,
Spain,ESP,Cereal production (metric tons),AG.PRD.CREL.MT,,7501313,9274378,9418967,8306768,8872202,9233004,10671297,11583861,11452764,10258842,13686715,12076709,11641386,13275231,14206900,12771144,13949322,16339367,13884855,18665639,11576278,13147918,13758534,21032473,20972014,16519723,20697404,23833792,19697663,18761569,19457400,14479465,17478586,15230994,11574293,22366038,19323595,22557318,17987942,24555671,18049893,21710256,21412386,24808839,14225681,19035558,24484400,23937125,17839225,19826795,22040441,16981441,25233510,20360910,
Spain,ESP,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,,47.17,46.17,55.4,47.48,49.1,53.35,48.44,52.96,50.56,53.62,54.94,60.9,67.62,66.73,66.91,64.12,58.58,71.32,74.73,75.85,65.46,76.43,65.62,82.3,78,77.15,89.7,76.99,85.05,89.08,81.58,85.45,79.4,73.97,63.4,91.81,101.89,92.8,91.95,102.57,102.75,99.82,114.35,104.92,91.68,103.4,102.14,99.84,102.18,105.42,109.18,86.79,115.11,,
Spain,ESP,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,38.68,37.99,45.74,41.23,41.94,46.32,43.08,46.38,45.54,49.03,49.1,53.84,59.92,60.34,61.29,60.71,57.97,66.68,69.21,71.77,66.38,74.52,66.69,76.67,72.93,72.71,81.54,74.06,79.45,83.35,80.13,83.34,80.1,76.07,70.72,88.61,95.35,91.23,92.62,99.96,101.15,100.14,110.67,102.17,95.7,102.13,100.42,100.48,101.83,104.35,106.77,92.29,108.81,,
Spain,ESP,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,,23.48,23.83,27.23,29.07,27.74,31.95,32.93,34.52,36.59,40.57,40.3,41.66,45.46,49.09,49.64,51.82,54.24,54.99,56.96,62.42,64.42,66.19,66.46,66.93,66.31,65.56,67.65,71.04,69.67,72.5,76.36,75.74,76.82,77.3,79.93,83.05,85.1,92.42,94.78,95.29,97.64,102.05,104.27,101.95,99.56,98.5,99.42,102.48,98.16,99.68,102.48,100.53,100.46,,
Spain,ESP,Surface area (sq. km),AG.SRF.TOTL.K2,,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505000,505020,505320,505370,505370,505370,505370,505370,505370,505370,505600,505600,505940,505940,505940,505940
Spain,ESP,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1082.5,1278.7,1303.1,1178.5,1250.7,1327.6,1480.6,1569.1,1558.1,1380.3,1840.5,1611.1,1595.1,1765.6,1974.3,1766.2,1925.2,2174.7,1907.8,2479.9,1571.3,1764.3,1851.1,2772.1,2762.2,2143.1,2626.8,3017.9,2491.5,2484.5,2490.7,1956.1,2720.3,2350.5,1730.6,3307.5,2767.6,3401,2708.8,3609.8,2809.6,3228.8,3258.8,3760.5,2166,3036.5,3944.9,3580.8,2953.1,3303.7,3707.8,2990.5,4081.2,3253.2,
Spain,ESP,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,,,,,,,,,,,,,,,,6.965428155,6.695192896,6.849354095,7.104603504,6.807444293,7.463690154,8.427550206,8.950220867,9.825750368,10.18302355,10.07072074,9.820416918,9.757081291,9.646379422,9.185345754,8.221146332,8.066974556,8.644783427,9.424497823,9.956267521,10.32942497,10.8594216,11.70920254,12.58009968,13.35808717,14.41285628,14.51310423,13.92446685,13.19805851,13.06272969,13.26507348,13.66299419,13.54048447,13.48564985,12.28496618,12.65474435,13.59456396,13.92189738,13.85505972,14.55453011,15.23078935
Spain,ESP,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,,,,,,,,,,,,,,,,37.49878767,40.15433559,38.79728584,39.09964381,37.24865942,34.59294538,36.24288201,40.7551576,36.93967447,35.97034192,40.0823795,38.92987283,38.60953599,40.90507742,39.95845066,38.34257943,40.39217179,41.62523743,43.89698374,43.60565259,42.05098558,42.74332185,45.24772045,46.75409563,,,,,,,,,,,,,,,41.44910734,40.22981644,39.63406065
Spain,ESP,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,,,,,,,,,,,,,,,,768564354.4,875196339.5,1111403552,1730499989,2323831151,3084638828,4210482296,4095124974,3658016937,3745688488,3505428392,3488183072,4438301427,5998695886,6543566533,11349569510,15192567848,19874176598,15456479917,16456885425,19606860540,23037517031,22465805999,24511557286,26390412184,27979263345,33675422704,35192550925,41107714832,51719307330,63597141720,88956314626,1.23858E+11,1.31141E+11,98330306188,90437030284,99201039907,72863686180,70110361173,72909826643,58486464754
